      Pres    T90(1)    T90(2)    Sal(1)   Cond(1)    Sal(2)   Cond(2)   OxCur        OXYG     Trans      Flur Altimeter      Time       wocecode
    2842.0   1.41360   1.41620  34.89190  31.37647  34.89189  31.37872  1.749700     6.417   -0.9862    0.0114     20.39   3069.67  2222222111111
    2842.0   1.41330   1.41650  34.89154  31.37590  34.89218  31.37920  1.749700     6.418   -0.9862    0.0115     20.54   3069.71  2222222111111
    2841.9   1.41250   1.41610  34.89194  31.37551  34.89240  31.37901  1.749700     6.418   -0.9862    0.0115     20.66   3069.75  2222222111111
    2841.9   1.41250   1.41600  34.89196  31.37551  34.89311  31.37948  1.749700     6.418   -0.9594    0.0116     20.68   3069.79  2222222111111
    2841.8   1.41240   1.41620  34.89224  31.37563  34.89234  31.37901  1.749700     6.418   -0.9594    0.0116     20.66   3069.83  2222222111111
    2841.8   1.41220   1.41600  34.89208  31.37531  34.89242  31.37889  1.749700     6.418   -0.9862    0.0117     20.66   3069.88  2222222111111
    2841.7   1.41260   1.41580  34.89191  31.37551  34.89280  31.37900  1.749700     6.417   -0.9594    0.0118     20.83   3069.92  2222222111111
    2841.7   1.41270   1.41570  34.89198  31.37564  34.89241  31.37859 -0.000000    -0.000   -0.9594    0.0118     20.90   3069.96  2222222411111
    2841.7   1.41220   1.41560  34.89175  31.37500  34.89268  31.37871  1.749700     6.417   -0.9594    0.0118     20.90   3070.00  2222222111111
    2841.6   1.41210   1.41510  34.89187  31.37500  34.89271  31.37828  1.749700     6.417   -0.9594    0.0119     20.90   3070.04  2222222111111
    2841.6   1.41210   1.41490  34.89204  31.37512  34.89271  31.37810  1.749700     6.417   -0.9594    0.0119     20.93   3070.08  2222222111111
    2841.6   1.41170   1.41440  34.89209  31.37480  34.89237  31.37738  1.749700     6.417   -0.9594    0.0119     21.07   3070.12  2222222111111
    2841.5   1.41130   1.41470  34.89229  31.37461  34.89222  31.37751  1.749700     6.418   -0.9594    0.0119     21.12   3070.17  2222222111111
    2841.5   1.41080   1.41430  34.89252  31.37434  34.89251  31.37738  1.749700     6.418   -0.9594    0.0120     21.12   3070.21  2222222111111
    2841.5   1.41100   1.41440  34.89209  31.37416  34.89256  31.37750  1.749700     6.418   -0.9594    0.0120     21.12   3070.25  2222222111111
